方言,類別,級別,中文,阿美語,備註
海岸,30生活作息,高級,以杓汲水(祈使),cahoken,另作hacoken/cahoken
海岸,30生活作息,高級,將水排出(疏減),pasonol/patiloc,
海岸,30生活作息,高級,收拾(祈使，如收拾東西),solimeten,
海岸,30生活作息,高級,碾(米),miilang,miilang是將稻穀脫殼
海岸,30生活作息,中高級,晾乾,pahayhay,
海岸,30生活作息,中級,蓋被子,paoray,
海岸,30生活作息,中高級,照起來／照明,pa’edil/padawdaw,同palikat、patedi’。
海岸,30生活作息,高級,炒(如炒花生),mikesir,
海岸,30生活作息,高級,以籠捕魚蝦,parakar,
海岸,30生活作息,中級,蒸(如蒸飯),rahkad,
海岸,30生活作息,中級,種植,paloma,
海岸,30生活作息,中高級,釣魚,patiked/pacemot,
海岸,30生活作息,中高級,生火,misalikat,另作mitotom/mipalikat
海岸,30生活作息,高級,醃漬(祈使),cilahen/sasirawen,同cinahen。
海岸,30生活作息,中高級,燒焦,ma’ong’ong,另作’ong’ong
海岸,30生活作息,中級,照顧,dipot/dimokos,
海岸,30生活作息,中高級,剪(頭髮),mileceng,leceng女生理髮、’is’is男生理髮。
海岸,30生活作息,中級,浸泡,lalo/nengel,
海岸,30生活作息,高級,掀開(如掀開蓋子),fohat,
海岸,30生活作息,高級,掩埋,selen/tadem,
海岸,30生活作息,中級,替換(衣服),falic,另作patidos
海岸,30生活作息,中高級,鎖上,ciker/ta^ta,另作caniker
海岸,30生活作息,高級,鋪床,celak to kafoti’an,
海岸,30生活作息,中高級,燒(如燒獵物的毛),dohdoh,
海岸,30生活作息,中高級,剝葉,paspas,
海岸,30生活作息,高級,尿急,cafoʼol,
海岸,30生活作息,高級,量測,fakciw/lalt,同ditek
海岸,30生活作息,高級,燃燒,corah/iloh/todoh,
海岸,30生活作息,高級,懸掛(祈使),caʼiten,
海岸,30生活作息,中高級,模仿,todong,
海岸,30生活作息,中級,飼養,pakaen,同pariri’。
海岸,30生活作息,中級,炒(飯菜),miciyan,
海岸,30生活作息,中級,點火,milangto/palikat,
海岸,30生活作息,初級,讀書,misaʼosi,同micodad。
海岸,30生活作息,中高級,喝(水),minanom,
海岸,30生活作息,中級,(用鋤具)挖掘,karkar,
海岸,30生活作息,中級,(居)住,maroʼ,
海岸,30生活作息,初級,唱歌,romadiw,
海岸,30生活作息,初級,玩耍,salama,
海岸,31生老病死傷,高級,死亡,patay,
海岸,31生老病死傷,中高級,好痛,anako’/anakex,同anakex。
海岸,31生老病死傷,高級,受傷,madokaʼ,
海岸,31生老病死傷,中高級,遺失,masiday,
海岸,31生老病死傷,高級,痛,adada,
海岸,31生老病死傷,中級,流血,maremes/ma’irang,
海岸,31生老病死傷,中高級,懷孕,cipoyapoy,同citiyad
海岸,31生老病死傷,中高級,活的,maʼoripay,
海岸,31生老病死傷,中高級,放屁,ma’etot/maesos,
海岸,31生老病死傷,高級,跛腳,piʼiw,
海岸,31生老病死傷,高級,撫養,midipot,
海岸,31生老病死傷,中高級,生長,molahad/malengaw,亦同lomahad
海岸,31生老病死傷,高級,疤,pi’edac/tolac,
海岸,31生老病死傷,高級,癢,caenget,
海岸,31生老病死傷,中級,打瞌睡,matokatok,
海岸,31生老病死傷,中高級,打噴嚏,maʼesing,
海岸,31生老病死傷,高級,嫁給非本族群的族人,mikadafoay to roma a finacadan,
海岸,31生老病死傷,初級,痠痛,alem’em/la’em’em,
海岸,31生老病死傷,初級,生病,adada,
海岸,31生老病死傷,中高級,化膿,mafenaʼ,
海岸,32特徵,高級,瘦(身形),maʼokak,另作mangiliw
海岸,32特徵,初級,重(重量),kareteng,
海岸,32特徵,初級,輕(重量),kahmaw,
海岸,32特徵,初級,高(身高),takaraw,同’akawang。
海岸,32特徵,初級,大的,tata’ang/ta’angayay,同tata’ak
海岸,32特徵,初級,矮(身高),paener,同poener
海岸,32特徵,初級,勤勞,malalok,
海岸,32特徵,初級,冷,sienaw,
海岸,32特徵,初級,小的,mimingay,
海岸,32特徵,初級,多,adihay,
海岸,32特徵,初級,漂亮,fangcal/makapah,另作makapah。
海岸,32特徵,初級,冰冷,kiʼetec,
海岸,32特徵,高級,悶熱,doʼet,
海岸,32特徵,初級,少的,mamang,
海岸,32特徵,初級,酒醉,malasang,
海岸,32特徵,中高級,笑,matawa,
海岸,32特徵,中高級,濕的,masenger/macepa’,同macepa’
海岸,32特徵,中高級,熟(如水果的熟),marohem,
海岸,32特徵,中級,厚的,kifetolay,
海岸,32特徵,中高級,未熟的(如這塊肉是生的),mantaʼay,
海岸,32特徵,中級,薄的,kohpicay,
海岸,32特徵,高級,髒,kadit,同kadit。
海岸,32特徵,初級,懶惰,matoka,
海岸,32特徵,中高級,乾淨,korac,
海岸,32特徵,中高級,很快,kalamkam/kaliki,同harakat。或kaliki
海岸,32特徵,高級,明亮,taengad/tadengal,另作tadengal
海岸,32特徵,中級,胖(身形),masoeso,
海岸,32特徵,中級,乾的,ma’icangay,
海岸,32特徵,中級,累,roray,
海岸,32特徵,高級,好可憐,kasiniʼadaan,
海岸,32特徵,中級,新的,faelohay,
海岸,32特徵,中級,舊的,matelangay,
海岸,32特徵,中高級,近,ngata,
海岸,32特徵,高級,燙,cedet,
海岸,32特徵,中級,壞掉,matastas,另作mapiciw
海岸,32特徵,中級,辣,kaedah,亦同kacedah/acedah
海岸,32特徵,中高級,遠,raay,
海岸,32特徵,高級,腫,lifawa,
海岸,32特徵,高級,彎曲,liʼakong,
海岸,32特徵,高級,久的,matenes,另作halafin。
海岸,32特徵,中高級,瞎了,mapohaw,
海岸,32特徵,高級,毒,sawarak,
海岸,32特徵,中級,很好吃,kaesoʼ,亦同aredet/adet
海岸,32特徵,高級,滑,kameleng,
海岸,32特徵,初級,苦,ʼangrer,亦同anenger
海岸,32特徵,高級,脆弱(如這根鐵絲易斷裂),kohenayay,
海岸,32特徵,高級,未成熟的(果實),mangtaʼay,
海岸,32特徵,高級,偷偷地,palinik,另作midokdok（有偷偷地溜走含意）。
海岸,32特徵,中級,(人)眾多,ʼaloman,
海岸,32特徵,中高級,輕柔,kahemaw,
海岸,32特徵,中高級,酸,ʼacicim,
海岸,32特徵,高級,鹹,kahecid,
海岸,32特徵,中高級,故意,padeteng,
海岸,32特徵,高級,稀爛的,maponi’ay,
海岸,32特徵,中高級,壯碩,tanektek,
海岸,32特徵,高級,暖和,diheko,
海岸,32特徵,高級,鈍的,malaresay,
海岸,32特徵,高級,甘甜,micedem,亦同koesan
海岸,32特徵,高級,澀澀的(味覺),cipelakay,同copelak。
海岸,32特徵,中高級,高瘦(身材),’akawang a mangiliw /takaraw a mangiliw,
海岸,32特徵,高級,(傾)斜,tokinih,
海岸,32特徵,中級,軟,matoni’/kona’i,
海岸,32特徵,中高級,很硬,ʼatekak,
海岸,32特徵,高級,酸臭,ʼangliw,
海岸,32特徵,高級,直,moecel,
海岸,32特徵,高級,滿了,matomes,
海岸,32特徵,高級,好好的,masolingaʼay,亦同mahongilaay
海岸,32特徵,高級,(空間)寬敞,kakahad,
海岸,32特徵,高級,正確,matatodong,另作matama。
海岸,32特徵,高級,全濕透,maraʼoteng,
海岸,32特徵,中級,慢慢,rara,亦同cedeng
海岸,32特徵,高級,溫的(水),falaefaay,
海岸,32特徵,中級,粗(物),kifetol,未有粗、細詞彙，用「厚」來指「粗」。
海岸,32特徵,中級,長,kakaya’/ki’edaw,亦同ki’edaw/ko’edaw
海岸,32特徵,高級,細,kihepic/kohepis,未有粗、細詞彙，用「小」來指「細」。
海岸,32特徵,高級,短,kamokoʼ,
海岸,32特徵,初級,炎熱,faedet,
海岸,32特徵,初級,成熟(果實),marohem,
海岸,32特徵,初級,滿滿,matomes,
海岸,32特徵,初級,英俊,tanestes,
海岸,33助動詞,高級,應該,mamahaen,
海岸,33助動詞,高級,一定,caay ka eca/cowa ka eca,另可縮寫為caykanca。
海岸,33助動詞,高級,能夠,mangaʼay,另作maedeng。
海岸,33助動詞,高級,可能,latek,
海岸,33助動詞,中級,慶祝,pahemek,另作mi’acang
海岸,33助動詞,中級,擦拭,sisit,
海岸,33助動詞,中高級,使喚,miocor,
海岸,34其他,高級,摺疊,tepik,
海岸,34其他,中高級,裂開,ngelaʼ,
海岸,34其他,高級,如何使用…,midemak,
海岸,34其他,高級,溢出(如水溢出來),marafiʼ,另作rafiyas/rofiyas
海岸,34其他,中級,幫忙,padang,
海岸,34其他,中高級,(有東西)附著,mikafit,
海岸,34其他,高級,混以某物,palamlam,
海岸,34其他,中級,(搖)動,mangiyangi,
海岸,34其他,高級,刷除,mitawasi,
海岸,34其他,高級,依賴,tiʼer,
海岸,34其他,中高級,倒入,taktak,
海岸,34其他,中高級,阻擋,tenaʼ,另作ateng
海岸,34其他,中高級,留下,pasiday,
海岸,34其他,高級,聲響,soni,亦同honi
海岸,34其他,中高級,超過,taʼelif,另作makinali
海岸,34其他,高級,崩落,perar,
海岸,34其他,高級,煞車,paterep/hatomi,
海岸,34其他,中級,尋找,kilim,
海岸,34其他,中高級,丟棄,falah,
海岸,34其他,中高級,禁止,lalang,
海岸,34其他,初級,有,ira,
海岸,34其他,中高級,剩下,ʼosaw,
海岸,34其他,中高級,設置；插入,patireng,
海岸,34其他,中級,開始,misatapang,
海岸,34其他,中級,完成,malaheci/mahede,另作malepon
海岸,34其他,高級,找碴,mirawraw,
海岸,34其他,中級,製作(物品),sangaʼ,
海岸,34其他,中高級,找到,matama,另作makera（失而復得）。
海岸,34其他,中級,數(計算),saʼosi,
海岸,34其他,高級,(獵物掉入陷阱)陷中,matilo,另作matalakal。
海岸,34其他,高級,撞擊某物,pakasongtol,
海岸,34其他,高級,旋轉,liyon,
海岸,34其他,高級,圍著某物,lingod,
海岸,34其他,高級,好,fangcalay,
海岸,34其他,初級,謝謝,aray,
海岸,34其他,中級,不客氣,aka kangodo,
海岸,34其他,初級,沒有,awa,
海岸,34其他,中級,沒關係,simanay,
海岸,35否定詞,初級,不要,naay,
海岸,35否定詞,初級,不可以,tatiʼih,
海岸,35否定詞,初級,不是(回答用),caayay,
海岸,35否定詞,初級,沒有(表擁有的否定詞),awa,
海岸,35否定詞,初級,不要(祈使句用),aka,
海岸,35否定詞,初級,不知道,hakeno,
海岸,36助詞或其他,初級,真的,soʼelin,
海岸,36助詞或其他,初級,正在,matini/hatini,
海岸,36助詞或其他,中高級,隨意,simaanay,
海岸,36助詞或其他,高級,好的(沒問題),hayda,
海岸,36助詞或其他,中級,因為,nawhan,
海岸,36助詞或其他,高級,不論,ano masamaamaan,
海岸,36助詞或其他,中高級,立即,tangsol,
海岸,36助詞或其他,中高級,足夠,maedeng,
海岸,36助詞或其他,中級,再,miliyaw,
海岸,36助詞或其他,中高級,只有,edeng,另作deng/dengan
海岸,36助詞或其他,中高級,剛剛,honi aca,另作honi saho。
海岸,36助詞或其他,高級,少許,mamang,
海岸,36助詞或其他,高級,暫時(離開一下),pacarcar,
海岸,36助詞或其他,高級,從不,caayay,
海岸,36助詞或其他,高級,不該,cakangaʼay,
海岸,36助詞或其他,中級,所以,orasaka,
海岸,36助詞或其他,中高級,經常,pararid,
海岸,36助詞或其他,初級,和,ato,
海岸,36助詞或其他,高級,偶爾,pakatar,另作latek/latekay
海岸,36助詞或其他,高級,是嗎(語助詞),hai/hisaw,
海岸,36助詞或其他,高級,還(尚未),ho,
海岸,36助詞或其他,高級,如果,ano,
海岸,36助詞或其他,高級,很,tato,
海岸,36助詞或其他,中高級,如此,mahaen,
海岸,36助詞或其他,中高級,也,latek/mamahaen,亦同alatek
海岸,36助詞或其他,中級,剛才,ihoni,
海岸,36助詞或其他,中高級,整天,saromiʼad,
海岸,36助詞或其他,中高級,都,saheto,
海岸,36助詞或其他,高級,僅僅,aca,
海岸,36助詞或其他,高級,雖然,matiyatiya/ano hatiratira i,另作talacowa
海岸,36助詞或其他,初級,嗎(用在問句),saw/haw,
海岸,36助詞或其他,初級,主格標記(各族用語),ko,
海岸,36助詞或其他,初級,受格標記(各族用語),to,
海岸,36助詞或其他,初級,屬格標記(各族用語),no,
海岸,36助詞或其他,初級,在(這裡),itini,
海岸,36助詞或其他,初級,可以(做某事),mangaʼay,
海岸,36助詞或其他,高級,傻瓜,fola/apa^/kala,
秀姑巒,01數字計量,初級,一,cecay,
秀姑巒,01數字計量,初級,二,tosa^,
秀姑巒,01數字計量,初級,三,tolo^,
秀姑巒,01數字計量,初級,四,sepat,
秀姑巒,01數字計量,初級,五,lima^,
秀姑巒,01數字計量,初級,六,enem,
秀姑巒,01數字計量,初級,七,pito^,
秀姑巒,01數字計量,初級,八,falo^,
秀姑巒,01數字計量,初級,九,siwa^,
秀姑巒,01數字計量,初級,十,polo’/mo^tep,
秀姑巒,01數字計量,初級,十一,safaw cecay,
秀姑巒,01數字計量,初級,十二,safaw tosa^,
秀姑巒,01數字計量,初級,十三,safaw tolo^,
秀姑巒,01數字計量,初級,十四,safaw sepat,
秀姑巒,01數字計量,初級,十五,safaw lima^,
秀姑巒,01數字計量,初級,十六,safaw enem,
秀姑巒,01數字計量,初級,十七,safaw pito^,
秀姑巒,01數字計量,初級,十八,safaw falo^,
秀姑巒,01數字計量,初級,十九,safaw siwa^,
秀姑巒,01數字計量,初級,二十,tosa^ poloʼ,
秀姑巒,01數字計量,初級,二十一,tosa^ poloʼ ira ko cecay,
秀姑巒,01數字計量,初級,二十二,tosa^ poloʼ ira ko tosa^,
秀姑巒,01數字計量,初級,二十三,tosa^ poloʼ ira ko tolo^,
秀姑巒,01數字計量,初級,二十四,tosa^ poloʼ ira ko sepat,
秀姑巒,01數字計量,初級,二十五,tosa^ poloʼ ira ko lima^,
秀姑巒,01數字計量,初級,三十,tolo^ poloʼ,
秀姑巒,01數字計量,高級,三十一,tolo^ poloʼ ira ko cecay,
秀姑巒,01數字計量,初級,四十,sepat poloʼ,
秀姑巒,01數字計量,初級,五十,lima^ poloʼ,
秀姑巒,01數字計量,初級,六十,enem poloʼ,
秀姑巒,01數字計量,初級,七十,pito^ poloʼ,
秀姑巒,01數字計量,初級,八十,falo^ poloʼ,
秀姑巒,01數字計量,初級,九十,siwa^ poloʼ,
秀姑巒,01數字計量,中高級,百,liʼan,
秀姑巒,01數字計量,高級,一百,cecay liʼan,
秀姑巒,01數字計量,中級,兩百,tosa^ liʼan,
秀姑巒,01數字計量,中高級,一千,cecay patek,
秀姑巒,01數字計量,高級,一些,hati:ni,
秀姑巒,01數字計量,中高級,一次,kinacecay,
秀姑巒,01數字計量,中高級,一串(香蕉),cecay dadaongan/cecay falilingan,
秀姑巒,01數字計量,中高級,種類,kasasiromaroma,
秀姑巒,01數字計量,中高級,一對,cecayʼapi^,
秀姑巒,01數字計量,初級,全部,maemin,
秀姑巒,01數字計量,中高級,一點點,mamang,
秀姑巒,01數字計量,中級,一半,kalitosa^,
秀姑巒,02代名詞、指示詞,初級,你,kiso,
秀姑巒,02代名詞、指示詞,初級,我,kako,
秀姑巒,02代名詞、指示詞,初級,他,ciira,
秀姑巒,02代名詞、指示詞,初級,你們,kamo,
秀姑巒,02代名詞、指示詞,初級,我們,kita,
秀姑巒,02代名詞、指示詞,初級,他們,caira,
秀姑巒,02代名詞、指示詞,初級,你們的,no namo,
秀姑巒,02代名詞、指示詞,初級,我們的,no niyam,
秀姑巒,02代名詞、指示詞,初級,他們的,naira,
秀姑巒,02代名詞、指示詞,初級,你的,no miso,
秀姑巒,02代名詞、指示詞,初級,我的,no mako,
秀姑巒,02代名詞、指示詞,初級,他的,niira,
秀姑巒,02代名詞、指示詞,高級,我們(排除式),kami,
秀姑巒,02代名詞、指示詞,初級,咱們(包含式),kita,
秀姑巒,02代名詞、指示詞,初級,咱們的,no niyam,
秀姑巒,02代名詞、指示詞,初級,那個,nora/raan,
秀姑巒,02代名詞、指示詞,初級,這個,noni/nian,
秀姑巒,02代名詞、指示詞,初級,這裡,itini,
秀姑巒,02代名詞、指示詞,初級,那裡,itira,
秀姑巒,02代名詞、指示詞,中高級,(像)這樣,saka,
秀姑巒,03疑問詞,中級,多少,pina,
秀姑巒,03疑問詞,初級,什麼,maan,
秀姑巒,03疑問詞,中級,如何,masamaan,
秀姑巒,03疑問詞,高級,何時(未發生),ihacowa^,
秀姑巒,03疑問詞,初級,誰,cima^,
秀姑巒,03疑問詞,初級,哪一個,icowaay,
秀姑巒,03疑問詞,初級,哪裡,icowa^,
秀姑巒,03疑問詞,高級,是誰的,no nima,
秀姑巒,03疑問詞,初級,怎麼,mamaan,
秀姑巒,03疑問詞,初級,多少(歲；物),pina^,
秀姑巒,03疑問詞,初級,多少(程度大小),hacowa,
秀姑巒,03疑問詞,初級,什麼地方,icowa^,
秀姑巒,03疑問詞,初級,何時(已發生),ihacowa^,
秀姑巒,03疑問詞,初級,為什麼,naw^iro,
秀姑巒,04親屬稱謂,初級,爸爸,mama^,
秀姑巒,04親屬稱謂,初級,媽媽,ina^,
秀姑巒,04親屬稱謂,中高級,堂、表兄弟姐妹,sadak no malekakaay,
秀姑巒,04親屬稱謂,初級,男性長輩(祖父；外公；岳父),akong,
秀姑巒,04親屬稱謂,初級,女性長輩(祖母；外婆；岳母),ama:,
秀姑巒,04親屬稱謂,中高級,親戚,ngasaw,
秀姑巒,04親屬稱謂,中高級,配偶,tihi,
秀姑巒,04親屬稱謂,中高級,女婿,kadafo^,
秀姑巒,04親屬稱謂,高級,舅子,faki^,
秀姑巒,04親屬稱謂,中高級,弟媳,ʼali^,
秀姑巒,04親屬稱謂,中高級,嫂嫂,ʼali^,
秀姑巒,04親屬稱謂,中高級,媳婦,kadafo,
秀姑巒,04親屬稱謂,中高級,孫子/孫女,teloc/sona,指後裔
秀姑巒,04親屬稱謂,中高級,夫妻,mararamoday,
秀姑巒,04親屬稱謂,高級,丈夫,faʼinay,
秀姑巒,04親屬稱謂,高級,姻親,cingki,
秀姑巒,04親屬稱謂,初級,兄弟姊妹,salikaka^,
秀姑巒,04親屬稱謂,高級,兄長,kaka^,
秀姑巒,04親屬稱謂,高級,(哥哥；姊姊)通稱,kaka,
秀姑巒,04親屬稱謂,初級,姊姊,kaka^ to fafahian / fafahiyan a kaka,
秀姑巒,04親屬稱謂,初級,哥哥,kaka to faʼinayan,
秀姑巒,04親屬稱謂,初級,(弟弟；妹妹)通稱,safa^,
秀姑巒,04親屬稱謂,初級,弟弟,safa^ to faʼinayan,
秀姑巒,04親屬稱謂,初級,妹妹,safa^ to fafahiyan,
秀姑巒,04親屬稱謂,初級,(伯父；叔叔；舅舅)通稱,faki^,
秀姑巒,04親屬稱謂,初級,(伯母；嬸嬸；舅母)通稱,fayi^,
秀姑巒,05人物、身分,初級,名字,ngangan,
秀姑巒,05人物、身分,初級,男孩,faʼinayan a wawa^,
秀姑巒,05人物、身分,初級,女孩,fafahiyan a wawa^,
秀姑巒,05人物、身分,初級,朋友,idang,
秀姑巒,05人物、身分,初級,孩童,wawa^,
秀姑巒,05人物、身分,初級,老人家,kalas no niyaro’/mato’asay,kalas no niyaro’耆老
秀姑巒,05人物、身分,初級,女性,fafahiyan/fayfahi,
秀姑巒,05人物、身分,初級,男性,faʼinayan/fanaʼinay,
秀姑巒,05人物、身分,初級,人,tamdaw,
秀姑巒,05人物、身分,初級,醫生,ising,
秀姑巒,05人物、身分,初級,老師,singsi^,
秀姑巒,05人物、身分,中高級,敵人,ʼada^,
秀姑巒,05人物、身分,高級,長官,fafaway,
秀姑巒,05人物、身分,高級,流氓,lumuwa,
秀姑巒,05人物、身分,高級,警察,tayring,
秀姑巒,05人物、身分,中高級,平埔族,tangafolan,
秀姑巒,05人物、身分,高級,客家人,ngayngay,
秀姑巒,05人物、身分,中級,校長,sawaraʼan no picodadan,
秀姑巒,05人物、身分,中級,閩南人,taywaan,
秀姑巒,05人物、身分,高級,青年,kapah,
秀姑巒,05人物、身分,高級,神父,sing-pu^,
秀姑巒,05人物、身分,中高級,修女,siw-ni,
秀姑巒,05人物、身分,中高級,外省人,holam,
秀姑巒,05人物、身分,初級,小姐,kay^ing,
秀姑巒,05人物、身分,初級,學生,sito^,
秀姑巒,06身體部位,初級,耳朵,tangila^,
秀姑巒,06身體部位,初級,大腿,cepiʼ,
秀姑巒,06身體部位,初級,眼睛,mata^,
秀姑巒,06身體部位,初級,臉,pising,
秀姑巒,06身體部位,初級,嘴巴,ngapa^/ngoyos,
秀姑巒,06身體部位,初級,頭,tangal,
秀姑巒,06身體部位,初級,指甲,kanoos,
秀姑巒,06身體部位,初級,手,kamay,
秀姑巒,06身體部位,初級,身體,tireng,
秀姑巒,06身體部位,初級,鼻子,songetan/ngosoʼ,
秀姑巒,06身體部位,初級,腳,waʼay,
秀姑巒,06身體部位,高級,牙齒,wadis,
秀姑巒,06身體部位,高級,頭髮,fokes,
秀姑巒,06身體部位,中級,血,remes,
秀姑巒,06身體部位,中級,肉,heci/titi^,heci人體的肉/titi^食用的肉
秀姑巒,06身體部位,中級,額頭,ca^ong,
秀姑巒,06身體部位,中級,肚子,tiyad,
秀姑巒,06身體部位,高級,乳房,coco^,
秀姑巒,06身體部位,高級,小腿肚,edo^ no waʼay/ʼamatorod,
秀姑巒,06身體部位,中級,肩膀,ʼafala^,
秀姑巒,06身體部位,中級,下巴,ngaroy,
秀姑巒,06身體部位,中級,背部,koror,
秀姑巒,06身體部位,中級,皮,fanges,
秀姑巒,06身體部位,中級,胸腔,takelang,
秀姑巒,06身體部位,中高級,男性生殖器,lokic / panga^,
秀姑巒,06身體部位,高級,女性生殖器,poki^,
秀姑巒,06身體部位,中級,肺,falaʼ,
秀姑巒,06身體部位,中級,心臟,falocoʼ,
秀姑巒,06身體部位,高級,手肘,ciko^,
秀姑巒,06身體部位,中級,口水,ngalay,
秀姑巒,06身體部位,中級,膝蓋,tosor,
秀姑巒,06身體部位,中級,傷口,doka^,
秀姑巒,06身體部位,中級,胃,fitoka^,
秀姑巒,06身體部位,中級,肝臟,ʼatay,
秀姑巒,06身體部位,中級,痰,telohoʼ,
秀姑巒,06身體部位,高級,甲狀腺腫,pocoʼ,
秀姑巒,06身體部位,高級,油脂,simal,
秀姑巒,06身體部位,中高級,肋骨,fadowac,
秀姑巒,06身體部位,高級,膽囊,fesir,
秀姑巒,06身體部位,中高級,拇指,salitataʼang,
秀姑巒,06身體部位,中級,喉嚨,piʼelokan/takolaw,
秀姑巒,06身體部位,中級,舌頭,sema^,
秀姑巒,06身體部位,中級,腰部,tatelecan/keletan,
秀姑巒,06身體部位,中級,手指,tarodoʼ,
秀姑巒,06身體部位,高級,門牙,sangotngot,
秀姑巒,06身體部位,中級,汗水,cohel,
秀姑巒,06身體部位,中級,脖子,liʼel / aʼilocan,
秀姑巒,06身體部位,中高級,鼻涕,songet/dinget,
秀姑巒,06身體部位,中高級,關節,ngolngolan / pokoh,
秀姑巒,06身體部位,中高級,臀部,pakah,
秀姑巒,06身體部位,中高級,腳掌,saripaʼ,
秀姑巒,06身體部位,高級,後頸,aʼilocan/liʼel,
秀姑巒,06身體部位,高級,腋窩,kakiriʼan,
秀姑巒,06身體部位,高級,腎臟,fowaʼ,
秀姑巒,06身體部位,中級,嘴唇,filfil,
秀姑巒,06身體部位,中級,毛,fanoh,
秀姑巒,07動物(含昆蟲),中級,尾巴,kikol,
秀姑巒,07動物(含昆蟲),初級,豬,fafoy,
秀姑巒,07動物(含昆蟲),初級,狗,waco^,
秀姑巒,07動物(含昆蟲),初級,羊,siri^,
秀姑巒,07動物(含昆蟲),初級,貓,posi^,
秀姑巒,07動物(含昆蟲),初級,鳥,ʼayam,
秀姑巒,07動物(含昆蟲),初級,魚,foting,
秀姑巒,07動物(含昆蟲),初級,雞,ʼayam,
秀姑巒,07動物(含昆蟲),初級,猴子,lotong,
秀姑巒,07動物(含昆蟲),初級,牛,kolong,
秀姑巒,07動物(含昆蟲),初級,老鼠(統稱),ʼedo^,
秀姑巒,07動物(含昆蟲),初級,青蛙,takola^ / takoraʼ,
秀姑巒,07動物(含昆蟲),初級,貓頭鷹,ekong,
秀姑巒,07動物(含昆蟲),中高級,穿山甲,ʼalem,
秀姑巒,07動物(含昆蟲),高級,山豬,fafoy no lotok,
秀姑巒,07動物(含昆蟲),中高級,野鴿子,fanol,
秀姑巒,07動物(含昆蟲),中級,蟲(統稱),fao,
秀姑巒,07動物(含昆蟲),中級,烏龜,rarokoh,
秀姑巒,07動物(含昆蟲),中高級,蛇,ʼoner,
秀姑巒,07動物(含昆蟲),中級,飛鼠,lawal,
秀姑巒,07動物(含昆蟲),中高級,豹,lokedaw,
秀姑巒,07動物(含昆蟲),中高級,水鹿,malonem,
秀姑巒,07動物(含昆蟲),中級,熊,tomay,
秀姑巒,07動物(含昆蟲),中高級,山羌,mangcel/ma^cel,
秀姑巒,07動物(含昆蟲),中高級,蟑螂,dadipis,
秀姑巒,07動物(含昆蟲),中高級,蜻蜓,fecacidoʼ,
秀姑巒,07動物(含昆蟲),中高級,蝴蝶,ʼadipangpang,
秀姑巒,07動物(含昆蟲),中高級,蜘蛛,felalotong/folalotong/falalotong,
秀姑巒,07動物(含昆蟲),高級,雄性動物生殖器官,panga^,
秀姑巒,07動物(含昆蟲),中高級,松鼠,fohet,
秀姑巒,07動物(含昆蟲),中高級,田鼠,malafaw,
秀姑巒,07動物(含昆蟲),中高級,蚊子,tadiwaaʼ / likes,
秀姑巒,07動物(含昆蟲),高級,頭蝨,koto^,
秀姑巒,07動物(含昆蟲),中級,蒼蠅,lalangaw/likes,
秀姑巒,07動物(含昆蟲),中級,蜜蜂,ʼodal,
秀姑巒,07動物(含昆蟲),高級,雄性(動物),okang,
秀姑巒,07動物(含昆蟲),中高級,乳豬,foekan/ciciw,
秀姑巒,07動物(含昆蟲),高級,鴨,howak / aa,
秀姑巒,07動物(含昆蟲),中級,蚯蚓,ʼatikak,
秀姑巒,07動物(含昆蟲),中高級,動物的內臟,lalomaʼay no ʼaʼadopen,
秀姑巒,07動物(含昆蟲),高級,土蜂,kaketi^,
秀姑巒,07動物(含昆蟲),中級,蝦,ʼafar,
秀姑巒,07動物(含昆蟲),中高級,大象,eco^,
秀姑巒,07動物(含昆蟲),中高級,馬,efa^,
秀姑巒,07動物(含昆蟲),中高級,雌性(動物),tawinaan,
秀姑巒,07動物(含昆蟲),高級,螃蟹,kalang,
秀姑巒,07動物(含昆蟲),高級,蟬,dadayday,
秀姑巒,07動物(含昆蟲),中高級,百步蛇,lodak,
秀姑巒,07動物(含昆蟲),中高級,翅膀,sapikpik,
秀姑巒,07動物(含昆蟲),中高級,蝙蝠,podadoki^,
秀姑巒,07動物(含昆蟲),高級,蝸牛,kacomoli^,
秀姑巒,07動物(含昆蟲),中高級,麻雀,ʼalic / cirep,
秀姑巒,07動物(含昆蟲),高級,鍬形蟲,ferarangad,
秀姑巒,07動物(含昆蟲),高級,老鷹,’alilis,
秀姑巒,07動物(含昆蟲),中高級,螞蟻,alonah / kakonah,
秀姑巒,07動物(含昆蟲),中高級,鵝,kaciw,
秀姑巒,07動物(含昆蟲),高級,水鳥,cowiʼ,
秀姑巒,07動物(含昆蟲),中高級,窩巢,dipong,
秀姑巒,07動物(含昆蟲),高級,虎頭蜂,tatekoh,
秀姑巒,07動物(含昆蟲),中高級,跳蚤,ʼatimla^,
秀姑巒,07動物(含昆蟲),中高級,眼鏡蛇,kakohkoh,
秀姑巒,07動物(含昆蟲),中高級,烏鴉,akʼak,
秀姑巒,07動物(含昆蟲),中高級,幼犬,totoy,
秀姑巒,07動物(含昆蟲),中高級,(動物的)角,pohong,
秀姑巒,07動物(含昆蟲),中高級,蚱蜢,fafokod / ririʼ,
秀姑巒,08植物,中級,香蕉,pawli^,
秀姑巒,08植物,中級,稻穀,safak,
秀姑巒,08植物,高級,樹,kilang,
秀姑巒,08植物,中級,芋頭,tali^,
秀姑巒,08植物,中級,甘蔗,tefos,
